timestamp,temp,soil_temp,city
2026-04-23T00:00,17.2,20.8,Singapore
2026-04-23T01:00,16.5,17.6,Singapore
2026-04-23T02:00,15.9,15.1,Singapore
2026-04-23T03:00,14.5,13.3,Singapore
2026-04-23T04:00,13.2,12.0,Singapore
2026-04-23T05:00,12.0,10.9,Singapore
2026-04-23T06:00,11.0,10.0,Singapore
2026-04-23T07:00,10.1,9.4,Singapore
2026-04-23T08:00,9.1,8.8,Singapore
2026-04-23T09:00,8.3,8.1,Singapore
2026-04-23T10:00,7.7,7.7,Singapore
2026-04-23T11:00,7.0,7.2,Singapore
2026-04-23T12:00,6.1,6.5,Singapore
2026-04-23T13:00,5.5,7.0,Singapore
2026-04-23T14:00,5.8,9.4,Singapore
2026-04-23T15:00,6.6,12.1,Singapore
2026-04-23T16:00,7.4,14.8,Singapore
2026-04-23T17:00,8.4,17.1,Singapore
2026-04-23T18:00,9.2,19.1,Singapore
2026-04-23T19:00,10.5,21.4,Singapore
2026-04-23T20:00,12.0,23.0,Singapore
2026-04-23T21:00,13.3,23.3,Singapore
2026-04-23T22:00,14.9,23.2,Singapore
2026-04-23T23:00,15.7,21.7,Singapore
2026-04-24T00:00,16.0,19.6,Singapore
2026-04-24T01:00,16.1,17.2,Singapore
2026-04-24T02:00,15.6,14.9,Singapore
2026-04-24T03:00,14.5,13.3,Singapore
2026-04-24T04:00,13.2,12.2,Singapore
2026-04-24T05:00,11.7,11.3,Singapore
2026-04-24T06:00,10.6,10.4,Singapore
2026-04-24T07:00,9.4,9.5,Singapore
2026-04-24T08:00,8.3,8.6,Singapore
2026-04-24T09:00,7.3,8.2,Singapore
2026-04-24T10:00,6.5,8.2,Singapore
2026-04-24T11:00,6.2,7.9,Singapore
2026-04-24T12:00,5.8,7.8,Singapore
2026-04-24T13:00,5.7,8.0,Singapore
2026-04-24T14:00,6.2,8.8,Singapore
2026-04-24T15:00,6.6,9.8,Singapore
2026-04-24T16:00,7.5,12.7,Singapore
2026-04-24T17:00,8.2,15.2,Singapore
2026-04-24T18:00,9.9,18.4,Singapore
2026-04-24T19:00,10.9,20.4,Singapore
2026-04-24T20:00,11.9,22.5,Singapore
2026-04-24T21:00,13.0,22.9,Singapore
2026-04-24T22:00,14.0,22.9,Singapore
2026-04-24T23:00,14.7,21.6,Singapore
2026-04-25T00:00,15.1,19.4,Singapore
2026-04-25T01:00,15.0,16.8,Singapore
2026-04-25T02:00,14.3,14.3,Singapore
2026-04-25T03:00,13.5,12.8,Singapore
2026-04-25T04:00,12.7,12.1,Singapore
2026-04-25T05:00,11.3,11.1,Singapore
2026-04-25T06:00,10.5,10.8,Singapore
2026-04-25T07:00,9.5,10.0,Singapore
2026-04-25T08:00,8.3,9.1,Singapore
2026-04-25T09:00,7.7,9.1,Singapore
2026-04-25T10:00,7.4,8.8,Singapore
2026-04-25T11:00,6.8,8.3,Singapore
2026-04-25T12:00,6.4,7.8,Singapore
2026-04-25T13:00,6.2,8.1,Singapore
2026-04-25T14:00,6.4,9.1,Singapore
2026-04-25T15:00,7.0,10.5,Singapore
2026-04-25T16:00,8.1,12.6,Singapore
2026-04-25T17:00,9.7,15.0,Singapore
2026-04-25T18:00,10.9,15.9,Singapore
2026-04-25T19:00,12.6,18.1,Singapore
2026-04-25T20:00,13.9,19.4,Singapore
2026-04-25T21:00,14.8,19.8,Singapore
2026-04-25T22:00,15.2,19.0,Singapore
2026-04-25T23:00,15.4,17.9,Singapore
2026-04-26T00:00,15.0,15.9,Singapore
2026-04-26T01:00,13.9,13.7,Singapore
2026-04-26T02:00,11.9,11.3,Singapore
2026-04-26T03:00,10.7,10.4,Singapore
2026-04-26T04:00,9.9,9.6,Singapore
2026-04-26T05:00,8.9,8.8,Singapore
2026-04-26T06:00,8.1,7.5,Singapore
2026-04-26T07:00,7.2,6.5,Singapore
2026-04-26T08:00,6.3,5.8,Singapore
2026-04-26T09:00,5.5,5.1,Singapore
2026-04-26T10:00,4.8,4.4,Singapore
2026-04-26T11:00,4.2,3.8,Singapore
2026-04-26T12:00,3.7,3.3,Singapore
2026-04-26T13:00,3.7,4.5,Singapore
2026-04-26T14:00,4.7,7.4,Singapore
2026-04-26T15:00,6.7,11.1,Singapore
2026-04-26T16:00,8.9,14.7,Singapore
2026-04-26T17:00,10.7,15.8,Singapore
2026-04-26T18:00,11.7,18.4,Singapore
2026-04-26T19:00,12.3,19.0,Singapore
2026-04-26T20:00,12.7,19.2,Singapore
2026-04-26T21:00,13.0,19.0,Singapore
2026-04-26T22:00,13.1,18.2,Singapore
2026-04-26T23:00,12.9,16.8,Singapore
2026-04-27T00:00,12.3,14.6,Singapore
2026-04-27T01:00,11.5,11.9,Singapore
2026-04-27T02:00,10.6,9.5,Singapore
2026-04-27T03:00,9.4,7.8,Singapore
2026-04-27T04:00,8.1,6.5,Singapore
2026-04-27T05:00,7.0,5.3,Singapore
2026-04-27T06:00,6.3,4.4,Singapore
2026-04-27T07:00,5.7,3.6,Singapore
2026-04-27T08:00,5.2,3.0,Singapore
2026-04-27T09:00,4.7,2.1,Singapore
2026-04-27T10:00,4.3,1.3,Singapore
2026-04-27T11:00,4.2,1.3,Singapore
2026-04-27T12:00,4.2,2.5,Singapore
2026-04-27T13:00,4.4,4.5,Singapore
2026-04-27T14:00,5.1,7.1,Singapore
2026-04-27T15:00,6.8,10.8,Singapore
2026-04-27T16:00,8.9,15.0,Singapore
2026-04-27T17:00,10.7,18.4,Singapore
2026-04-27T18:00,11.9,20.6,Singapore
2026-04-27T19:00,12.9,21.9,Singapore
2026-04-27T20:00,13.5,22.4,Singapore
2026-04-27T21:00,14.0,21.8,Singapore
2026-04-27T22:00,14.2,20.3,Singapore
2026-04-27T23:00,14.1,18.5,Singapore
2026-04-28T00:00,13.7,16.3,Singapore
2026-04-28T01:00,12.9,13.7,Singapore
2026-04-28T02:00,12.1,11.4,Singapore
2026-04-28T03:00,11.3,9.5,Singapore
2026-04-28T04:00,10.4,8.0,Singapore
2026-04-28T05:00,9.5,6.8,Singapore
2026-04-28T06:00,8.6,6.1,Singapore
2026-04-28T07:00,7.7,5.7,Singapore
2026-04-28T08:00,7.0,5.5,Singapore
2026-04-28T09:00,6.7,5.5,Singapore
2026-04-28T10:00,6.5,5.7,Singapore
2026-04-28T11:00,6.3,5.9,Singapore
2026-04-28T12:00,6.1,6.2,Singapore
2026-04-28T13:00,5.8,6.3,Singapore
