timestamp,temp,soil_temp,city
2026-04-29T18:00,30.3,31.7,singapore
2026-04-29T19:00,30.3,30.5,singapore
2026-04-29T20:00,30.1,29.5,singapore
2026-04-29T21:00,29.3,28.6,singapore
2026-04-29T22:00,28.3,27.9,singapore
2026-04-29T23:00,27.4,27.3,singapore
2026-04-30T00:00,27.0,27.0,singapore
2026-04-30T01:00,26.7,26.7,singapore
2026-04-30T02:00,26.5,26.6,singapore
2026-04-30T03:00,26.3,26.3,singapore
2026-04-30T04:00,26.1,26.2,singapore
2026-04-30T05:00,26.1,26.3,singapore
2026-04-30T06:00,26.2,26.7,singapore
2026-04-30T07:00,26.4,27.4,singapore
2026-04-30T08:00,26.9,28.7,singapore
2026-04-30T09:00,28.1,31.1,singapore
2026-04-30T10:00,29.7,34.2,singapore
2026-04-30T11:00,31.0,36.7,singapore
2026-04-30T12:00,32.0,38.3,singapore
2026-04-30T13:00,32.7,39.3,singapore
2026-04-30T14:00,33.0,39.5,singapore
2026-04-30T15:00,33.0,38.6,singapore
2026-04-30T16:00,32.5,36.8,singapore
2026-04-30T17:00,32.0,35.0,singapore
2026-04-30T18:00,31.2,33.1,singapore
2026-04-30T19:00,30.3,31.2,singapore
2026-04-30T20:00,29.5,29.7,singapore
2026-04-30T21:00,29.0,28.8,singapore
2026-04-30T22:00,28.7,28.4,singapore
2026-04-30T23:00,28.4,28.1,singapore
